Moving to root at: [0.18381771835321278, 0.08346979607541362, 0.1695]

Step 7: X=0.17457, Y=0.09479, Z=0.17076, Drop: 0, Error=0.015302
Step 8: X=0.17418, Y=0.09595, Z=0.17074, Drop: 0, Error=0.014073
Step 9: X=0.17382, Y=0.09703, Z=0.17073, Drop: 0, Error=0.012945
Step 10: X=0.17349, Y=0.09801, Z=0.17072, Drop: 0, Error=0.011910
Step 11: X=0.17320, Y=0.09892, Z=0.17070, Drop: 0, Error=0.010961
Step 12: X=0.17293, Y=0.09975, Z=0.17069, Drop: 0, Error=0.010090
Step 13: X=0.17268, Y=0.10052, Z=0.17068, Drop: 0, Error=0.009292
Step 14: X=0.17246, Y=0.10122, Z=0.17067, Drop: 0, Error=0.008559
Step 15: X=0.17226, Y=0.10187, Z=0.17066, Drop: 0, Error=0.007888
Step 16: X=0.17207, Y=0.10246, Z=0.17064, Drop: 0, Error=0.007272
Step 17: X=0.17190, Y=0.10301, Z=0.17063, Drop: 0, Error=0.006708
Step 18: X=0.17175, Y=0.10351, Z=0.17062, Drop: 0, Error=0.006192
Step 19: X=0.17161, Y=0.10397, Z=0.17061, Drop: 0, Error=0.005719
Step 20: X=0.17149, Y=0.10439, Z=0.17060, Drop: 0, Error=0.005286
Step 21: X=0.17137, Y=0.10478, Z=0.17059, Drop: 0, Error=0.004890
Goal [0.16961994998076182, 0.10921046556367833, 0.1695] reached in 21 steps.
Dropping liquid at the root tip.
Moving to root at: [0.16915823393612928, 0.13829857637552906, 0.1695]

Run 3: Moving from [0.1713719  0.10477791 0.17059462] to goal [0.16915823393612928, 0.13829857637552906, 0.1695]
Step 0: X=0.17117, Y=0.10534, Z=0.17061, Drop: 0, Error=0.033039
Step 1: X=0.17098, Y=0.10646, Z=0.17063, Drop: 0, Error=0.031916
Step 2: X=0.17081, Y=0.10813, Z=0.17065, Drop: 0, Error=0.030237
Step 3: X=0.17066, Y=0.11021, Z=0.17066, Drop: 0, Error=0.028152
Step 4: X=0.17053, Y=0.11229, Z=0.17067, Drop: 0, Error=0.026066
